骏皇名居 带福外中小学，小区新，新加坡式园林，南北通双阳台。,3室2厅,108平米,福田,950
香蜜湖豪庭 明德名小区，香蜜湖豪庭业主惜售,2室2厅,55平米,福田,950
彩虹新都 福田CBD大三房出售 楼下1号线无缝接驳 看房方便,3室2厅,120.8平米,福田,500
新一代国际公寓 蛇口沃尔玛旁南向高层两房。,2室1厅,42.43平米,南山,430
阳光四季 厅出大阳台3房 安静 通风采光好 780万,3室2厅,103.25平米,福田,780
皇御苑四期 1室1厅1厨1卫 56.64m² 一手房东,1室1厅,56.64平米,福田,425
五洲星苑 满五红本在手 精装可拎包入住送全家私电器,2室2厅,62.4平米,福田,500
海景花园 海景花园海景房南北通透精装修保养好,2室2厅,93平米,南山,700
宏轩名庭 真实房源真实价格诚心出售精致装修,1室1厅,39.15平米,福田,400
金港豪庭 福民地铁站金地社区大两房,3室2厅,91.75平米,福田,680
宣嘉华庭 安静花园社区 高层大三房 看房方便,3室2厅,100.21平米,福田,680
韵动领地 韵动家园 正规一室一厅 税费少 近体育公园 ,1室1厅,52平米,福田,310
龙城花园大厦 满五【1】，业主换房,3室2厅,87.44平米,南山,618
华富大厦 高铁福田站旁，温馨两房，视野无遮挡，可拎包入住,2室2厅,59.1平米,福田,408
招东小区 大三房 中间楼层 业主诚心出售 可谈,3室2厅,110.79平米,南山,760
南海城中心 3房 带小区 环境优美 安静满5年不V一 看房方便,3室2厅,69.73平米,南山,498
科苑居 科技园一房一厅 南山外国语学校 地铁旁边,1室1厅,43平米,南山,365
御景东方花园 119平米3房朝向好装修好红本在手诚心卖,3室2厅,119平米,南山,1250
俊景豪园 房子装修保养好、买过来直接入住,2室2厅,81.86平米,福田,580
彩福大厦 杜家委托2房福田区岗厦地铁B出口南向满五唯意随时看,2室1厅,43.89平米,福田,246
翠海花园二期 很高楼层，景观无法遮挡，业主价格好商量,4室2厅,184.45平米,福田,2180
桃苑单身公寓 海滨实验，刚需两房，电梯房，租金高,2室0厅,57.88平米,南山,292
彩天名苑 彩天名苑精装两房，楼层好，户型方正,2室2厅,61平米,福田,370
东景花园 三房看莲花山、户型方方正正、视野开阔、采光佳,3室2厅,103平米,福田,598
南溪新苑 南溪新苑！可拎包入住！45平双阳台售310万！,1室1厅,46平米,福田,310
登良花园 红本无税精装修两房，上南二外学校，近来福士购物广场,2室2厅,72.56平米,南山,500
星海名城三期 看房子方便，价格可以谈，满五年、一套房,3室2厅,74.43平米,南山,760
荔园新村 业主诚心出售格局方正满5年，红本无税,3室2厅,128平米,南山,800
万象新园 海滨实验学校，南山地铁，精装3房2厅2卫,3室2厅,99.98平米,南山,630
通业花园 通业花园1室1厅出售，满五年楼层好配套完善安静,1室1厅,43.14平米,福田,276
海晖大厦 海晖大夏 精装修 双地铁啦 中楼层 通风采光好 ,3室2厅,95.87平米,南山,550
彩田村 莲花山彩田村大三房方正户型，近地铁安静位置,3室2厅,81平米,福田,690
金海岸大厦 2室2厅1厨1卫  满五年   正南向,2室1厅,56.56平米,南山,480
皇达东方雅苑 双层花园小区，精装修，安静看花园景，红本在在手,2室2厅,68平米,福田,545
缔梦园 房子装修保养好、买过来直接入住,1室1厅,44平米,福田,300
鼎太风华三期 3室2厅0厨2卫 115.34m² 满五,3室2厅,115.34平米,南山,1300
园博中央 高区一线红树湾海景 舒适4+1房实用200平 诚售,4室2厅,162.04平米,福田,1760
海典居 南山站 精装三房 学府中学 安静不吵 近海雅书城,3室2厅,92.09平米,南山,600
龙泰轩 正南朝向 ，4室2厅1厨2卫 112.5m² ,4室2厅,112.5平米,南山,860
硅谷别墅三期 南外科华部必选低总价.精装.电梯房.易出租,1室1厅,44.02平米,南山,550
锦福苑 双地铁站性价比非常高，户型方正满5唯1红本仅交契税,2室2厅,69.61平米,南山,380
深圳湾畔花园 朝南向海景 景观视野好，业主诚心卖。,3室2厅,117.05平米,南山,910
天健花园 户型方正，大三房，诚售,3室2厅,115.32平米,福田,1180
星河明居 荔园红岭，楼下天虹地铁站，端头位，方正大3房,3室2厅,105.67平米,福田,780
桂花苑 丹霞阁132平米 户型 高层 朝南 业主急售,3室2厅,132.79平米,南山,900
海典居 居家2房户型 业主诚心出售 南二外学府中学,2室2厅,73.13平米,南山,495
世纪村日月府四期 东南向精装4房，高楼层，客厅出阳台，看海景，湖景！,4室2厅,186.5平米,南山,1900
御景东方花园 御景东方186平米4房大露台看湖景安静户型方正实用,4室2厅,186平米,南山,2280
皇庭世纪花园 福田CBD 大型居家社区 南向三房,3室2厅,103.26平米,福田,800
诺德国际 急售 安静看花园 精装大四房,4室2厅,145.51平米,南山,1450
必好花园 必好花园大四房出售 带福外学 位 南北通透 进地铁,4室2厅,109平米,福田,750
信和自由广场 客厅出阳台，安静标准两房，小区居中位置,2室2厅,71.67平米,南山,600
安栢丽晶 品质豪华小区放卖,3室2厅,128平米,福田,1280
栖游家园 高层看海景客厅出阳台，低总价深圳湾豪宅般享受,2室2厅,74.7平米,南山,695
